epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57883,1.76911,4.08968,2.39361,0.68454,0.375,0.36708,0.14792,1.42791,18.3838,2.31829,0.00010002,0.00010002,0.00010002
2,9.8166,1.55228,2.84108,2.11651,0.47355,0.875,0.61298,0.22852,1.84014,14.1996,2.24211,0.000212419,0.000212419,0.000212419
3,15.4445,1.52083,2.53984,1.86385,0.50192,0.875,0.80622,0.37527,1.56938,11.497,2.09297,0.000320197,0.000320197,0.000320197
4,20.4044,1.48615,2.49562,1.76098,0.57143,0.1875,0.09784,0.02818,2.33403,43.522,3.97938,0.000423355,0.000423355,0.000423355
5,24.3576,1.51101,2.09114,1.84537,0.5,0.375,0.39944,0.10404,2.12842,30.6806,4.68571,0.000521891,0.000521891,0.000521891
6,28.1957,1.54857,2.0557,1.75235,0.19014,0.9375,0.36428,0.15259,1.78357,23.0975,3.29262,0.000615806,0.000615806,0.000615806
7,32.1021,1.64431,1.93298,1.86089,0.42857,0.4375,0.54192,0.22457,1.65272,34.9746,3.47831,0.000705101,0.000705101,0.000705101
8,36.0807,1.6075,1.88745,1.83367,0.16446,0.875,0.26125,0.11818,1.43265,28.6736,2.59645,0.000789775,0.000789775,0.000789775
9,40.0838,1.9058,2.17205,2.12425,0.11538,0.375,0.17769,0.06922,1.97651,60.6245,4.30786,0.000869827,0.000869827,0.000869827
10,43.3503,1.69997,1.93028,1.9375,0.09509,0.625,0.10398,0.04022,2.06095,25.64,4.60067,0.000945259,0.000945259,0.000945259
11,47.1058,1.50607,1.90567,1.81053,0.05863,0.6875,0.06939,0.03647,1.99076,232.481,7.59553,0.00101607,0.00101607,0.00101607
12,50.624,1.62297,1.7994,1.82727,0.05865,0.5625,0.05888,0.02221,2.52652,162.133,8.70864,0.00108226,0.00108226,0.00108226
13,53.8825,1.60272,1.92134,1.95124,0.50301,0.1875,0.00202,0.0004,3.99852,162.863,14.2612,0.00114383,0.00114383,0.00114383
14,56.967,1.77343,2.14323,1.99978,0.50301,0.1875,0.00202,0.0004,3.99852,162.863,14.2612,0.00120078,0.00120078,0.00120078
15,60.6812,1.63431,1.90999,1.88177,0.01133,0.625,0.01422,0.00509,2.33012,inf,13.2979,0.00120491,0.00120491,0.00120491
16,64.0183,1.64422,1.78411,1.83446,0.00365,0.4375,0.00585,0.00214,2.68508,inf,11.5322,0.0011719,0.0011719,0.0011719
17,67.4659,1.6449,1.93196,1.87829,0.02628,0.3125,0.0213,0.00742,2.78724,46.0136,4.94152,0.00113889,0.00113889,0.00113889
18,70.9703,1.61414,1.7678,1.82046,0.196,0.25,0.2236,0.04933,3.24905,9.32121,5.12454,0.00110589,0.00110589,0.00110589
19,74.3307,1.45266,1.56056,1.69038,0.18186,0.5,0.2361,0.08841,3.29469,35.2521,5.48422,0.00107288,0.00107288,0.00107288
20,77.7422,1.72216,1.83562,1.9952,0.19971,0.875,0.31457,0.15008,1.80735,18.1118,3.24433,0.00103987,0.00103987,0.00103987
21,81.1383,1.52503,1.5609,1.79724,0.27321,0.75182,0.37558,0.17378,1.61326,8.26446,2.57095,0.00100687,0.00100687,0.00100687
22,85.2041,1.27806,1.47441,1.56568,0.27321,0.75182,0.37558,0.17378,1.61326,8.26446,2.57095,0.000973861,0.000973861,0.000973861
23,89.8507,1.36356,1.46835,1.60698,0.29452,0.75,0.62627,0.30674,1.73258,7.98577,2.70139,0.000940855,0.000940855,0.000940855
24,93.054,1.52785,1.69235,1.84007,0.33929,0.8636,0.54976,0.18874,1.81823,5.14994,2.85762,0.000907848,0.000907848,0.000907848
25,96.3551,1.47571,1.51208,1.70285,0.4674,0.66668,0.61594,0.33839,1.58706,3.11329,2.2907,0.000874842,0.000874842,0.000874842
26,100.509,1.442,1.46992,1.69352,0.54738,0.3125,0.4284,0.2643,1.40419,2.43652,1.99289,0.000841835,0.000841835,0.000841835
27,103.971,1.44953,1.49516,1.71465,0.52023,0.61678,0.58533,0.34609,1.50023,2.04131,2.09881,0.000808828,0.000808828,0.000808828
28,107.836,1.44953,1.42699,1.65608,0.65396,0.73236,0.74344,0.36737,1.66292,2.34134,2.31969,0.000775822,0.000775822,0.000775822
29,112.22,1.38334,1.32393,1.6867,0.60165,0.5766,0.60922,0.40469,1.38268,2.65694,1.98937,0.000742815,0.000742815,0.000742815
30,116.989,1.32875,1.35396,1.64396,0.60165,0.5766,0.60922,0.40469,1.38268,2.65694,1.98937,0.000709809,0.000709809,0.000709809
31,122.432,1.3205,1.21646,1.56671,0.68022,0.6875,0.60742,0.38628,1.40704,2.36592,1.98645,0.000676802,0.000676802,0.000676802
32,126.372,1.35862,1.36122,1.62788,0.65805,0.66399,0.65204,0.3794,1.56782,2.51072,2.17284,0.000643795,0.000643795,0.000643795
33,129.823,1.2681,1.22221,1.56261,0.61212,0.75,0.7373,0.42247,1.65319,2.19934,2.31856,0.000610789,0.000610789,0.000610789
34,134.016,1.12611,1.10021,1.47423,0.60269,0.75155,0.71196,0.39407,1.69339,2.18525,2.50726,0.000577782,0.000577782,0.000577782
35,139.901,1.25686,1.16657,1.49592,0.66584,0.875,0.8554,0.48076,1.66231,1.70914,2.45827,0.000544776,0.000544776,0.000544776
36,149.549,1.17648,1.11749,1.42626,0.87952,0.74002,0.89246,0.49805,1.59004,1.47737,2.32386,0.000511769,0.000511769,0.000511769
37,159.337,1.07796,1.11815,1.44921,0.92284,0.90127,0.90934,0.49811,1.80486,1.20376,2.54698,0.000478762,0.000478762,0.000478762
38,169.396,1.16022,1.00927,1.49411,0.92284,0.90127,0.90934,0.49811,1.80486,1.20376,2.54698,0.000445756,0.000445756,0.000445756
39,177.573,1.0808,1.019,1.3535,0.8809,0.94968,0.97,0.47527,1.90941,1.20379,2.62738,0.000412749,0.000412749,0.000412749
40,182.239,1.18667,1.15533,1.48598,0.88439,0.95438,0.97,0.49759,1.81066,1.04835,2.52678,0.000379743,0.000379743,0.000379743
41,235.975,1.13976,1.10557,1.6022,0.872,0.96615,0.97,0.50123,1.72466,0.99106,2.37582,0.000346736,0.000346736,0.000346736
42,244.012,0.99218,1.1387,1.58842,0.7508,0.9375,0.8797,0.52252,1.70152,1.01977,2.36315,0.000313729,0.000313729,0.000313729
43,253.486,0.99907,0.90548,1.46536,0.89079,0.99688,0.92,0.50028,1.62714,1.01554,2.29825,0.000280723,0.000280723,0.000280723
44,261.453,0.95589,0.95815,1.55875,0.94939,0.92927,0.995,0.57879,1.5195,0.93646,2.13743,0.000247716,0.000247716,0.000247716
45,269.933,1.01916,0.89332,1.51651,0.941,0.91685,0.98833,0.56653,1.54061,0.98417,2.13139,0.00021471,0.00021471,0.00021471
46,277.759,1.03446,0.91335,1.50399,0.941,0.91685,0.98833,0.56653,1.54061,0.98417,2.13139,0.000181703,0.000181703,0.000181703
47,284.725,0.97844,0.84478,1.57557,0.95817,0.89662,0.995,0.57284,1.56372,0.97752,2.15222,0.000148696,0.000148696,0.000148696
48,288.528,0.96794,0.83066,1.51732,0.89198,0.98041,0.995,0.54732,1.55369,0.95746,2.12217,0.00011569,0.00011569,0.00011569
49,292.036,0.99365,0.91539,1.56786,0.8968,0.97228,0.995,0.57017,1.5162,0.97388,2.08995,8.26832e-05,8.26832e-05,8.26832e-05
50,296.02,0.96723,0.82186,1.44801,0.96527,0.91276,0.995,0.56768,1.531,0.97227,2.0991,4.96766e-05,4.96766e-05,4.96766e-05
